title,price,link
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Eurosvet Soft 80503/1 белый</div>","<div class=""productItem__cost productItem__cost-new"">4 890 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_eurosvet_soft_80503_1_belyj/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Eurosvet Soft 80503/1 белый</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Freya Zelda FR5124TL-01BS</div>","<div class=""productItem__cost productItem__cost-new"">6 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_freya_zelda_fr5124tl-01bs/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Freya Zelda FR5124TL-01BS</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light CANDY 4861/1TA</div>","<div class=""productItem__cost productItem__cost-new"">13 390 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_odeon_light_candy_4861_1ta/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light CANDY 4861/1TA</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Valdieri OML-16504-01</div>","<div class=""productItem__cost productItem__cost-new"">4 270 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_valdieri_oml_16504_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Valdieri OML-16504-01</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Velante 863-804-01</div>","<div class=""productItem__cost productItem__cost-new"">14 981 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_velante_863_804_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Velante 863-804-01</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Taiyi A4002LT-1CC</div>","<div class=""productItem__cost productItem__cost-new"">4 790 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_taiyi_a4002lt_1cc/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Taiyi A4002LT-1CC</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Iklil A4014LT-1GO</div>","<div class=""productItem__cost productItem__cost-new"">9 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_iklil_a4014lt_1go/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Iklil A4014LT-1GO</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Севилья CL414813</div>","<div class=""productItem__cost productItem__cost-new"">4 599 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_sevilya_cl414813/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Севилья CL414813</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Lussole Talladega LSP-0615</div>","<div class=""productItem__cost productItem__cost-new"">7 684 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lussole_talladega_lsp_0615/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lussole Talladega LSP-0615</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Abrasax TL-7720-1CRW</div>","<div class=""productItem__cost productItem__cost-new"">8 643 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_abrasax_tl_7720_1crw/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Abrasax TL-7720-1CRW</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Revati A4016LT-1BK</div>","<div class=""productItem__cost productItem__cost-new"">8 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_revati_a4016lt_1bk/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Revati A4016LT-1BK</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Eurosvet Bubble 01197/1 латунь a060938</div>","<div class=""productItem__cost productItem__cost-new"">8 000 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_eurosvet_bubble_01197_1_latun_a060938/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Eurosvet Bubble 01197/1 латунь a060938</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Abrasax Manne TL-7722-1CR.B</div>","<div class=""productItem__cost productItem__cost-new"">8 643 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_abrasax_manne_tl_7722_1cr_b/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Abrasax Manne TL-7722-1CR.B</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа с аккумулятором Elektrostandard Future TL70200 4690389192029 a062379</div>","<div class=""productItem__cost productItem__cost-new"">4 970 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_s_akkumulyatorom_elektrostandard_future_tl70200_4690389192029_a062379/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа с аккумулятором Elektrostandard Future TL70200 4690389192029 a062379</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumion Stacy 5660/1T</div>","<div class=""productItem__cost productItem__cost-new"">2 590 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lumion_stacy_5660_1t/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumion Stacy 5660/1T</div>                </a>            </div>"
title,price,link
